الاسم,rating,total_ratings,img,السعر النهائي,Brand,Gender,Product Type,Character,Fragrance Family,Size,Year of Launch,Concentration,Top Notes,Middle Notes,Base Notes,Category,Ingredients,Product Color,Preferences,Makeup Type,Search Key
Masque Milano Dolceacqua Le Donne di Masque,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/0/8055118030038-masque-masque-milano-petra-le-donne-di-masque-50ml.jpg,575.0,Masque Milano,Women,Perfume,Romantic,Floral,50 ml,2020,Eau de Parfum,"Sea Notes, Ivy, Lily of the Valley, Marjoram","Almond Blossom, Mimosa, Ylang Ylang, White Rose","Indian Saffron, Arzynia, Siam Benzoin, Oak Moss and Musk",,"Sea Notes, Ivy, Lily of the Valley, Marjoram, Almond Blossom, Mimosa, Ylang Ylang, White Rose, Indian Saffron, Arzynia, Siam Benzoin, Oak Moss and Musk",,,,
Jesus Del Pozo Gold Amber Nights EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/4/8431754007564_j._del_pozo_jesus_del_pozo_gold_amber_nights_m_edp_100_ml_.png,564.0,J. Del Pozo,Men,Perfume,Natural,Woody,100 ml,2021,Eau de Parfum,"Rose, Thyme","Saffron, Sandalwood, Guaiac wood, Patchouli, Vetiver, Virginian Cedar","Oud, Amber, Musk, French Labdanum",,,,,,
Mood Love EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/0/8053629626627-mood-mood-love-edp-100ml.png,150.0,Mood,Women,Perfume,Sensual,Floral,100 ml,,Eau de Parfum,"Peony, Purple Freesia, Pink Pepper, Peach","Jasmine Sambac, Tuberose, Orange Blossom","Patchouli, Vetiver",,,,,,
Lancôme Trésor Midnight Rose,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">201 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/l/a/lanc_me_tresor_midnight_rose_eau_de_parfum_1.jpg,432.0,Lancome,Women,Perfume,,Oriental,50 ml,,Eau de Parfum,,,,Perfume,"Raspberry, Rose, Vanilla, Musk",,,,
Jad Tropical EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6291109752257_-_jad_-_jad_tropical_edt_-_100ml_-_fd.png,69.0,Jad,Women,Perfume,Sensual,Floral,100 ml,,Eau de Toilette,,,,,,,,,
Elie Saab Girl Of Now Shine,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">146 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_elie_saab_perfumes_girl_of_now_shine_for_women_eau_de_perfum_3423473095750.jpg,477.0,Elie Saab,Women,Perfume,Feminine,Floral Oriental,50 ml,2018,Eau de Parfum,"pear, pineapple","almond, ylang- ylang","iris, jasmine, vanilla, patchouli",,"pear, pineapple, almond, ylang- ylang, iris, jasmine, vanilla, patchouli",Gold,,,
Bvlgari Le Gemme Orientali Lazulia,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_bvlgari_perfumes_le_gemme_orientali_lazulia_edp_100_ml_for_unisex_783320461620.jpg,1570.0,Bvlgari,Women,Perfume,Sophisticated,Oud,100 ml,2015,Eau de Parfum,Jasmine,Incense,oud,,"Jasmine, Incense, Oud",Multi,,,
Christian Dior J'adore Infinissime - 150 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3348901521512-christian-dior-christian-dior-j_adore-infinissime-_w_-edp-100-ml.png,1010.0,Dior,Women,Perfume,Charismatic,Oriental,150 ml,2020,Eau de Parfum,"Bergamot, Pink pepper, Blood orange","Rose, lily of the valley, ylang-ylang, jasmine sambac, tuberose",Sandalwood,,,,,,
Giorgio Armani Acqua Di Giò Refillable EDP,"<h4 data-v-de649438="""">4.7</h4>","<span data-v-de649438="""">7 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/6/3614273662420-giorgio-armani-giorgio-armani-acqua-di-gio-_m_-edp-125-ml-refillable.png,627.0,Giorgio Armani,Men,Perfume,Extravagant,Aromatic,125 ml,,Eau de Parfum,"Green mandarin, Sea spray","Geranium, Lavender, Sage","Patchouli, Vetiver, Mineral notes",,,,,,
Swiss Arabian Khateer EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6295124031496-swiss-arabian-khateer-100ml-edp.png,98.0,Swiss Arabian,Men,Perfume,Glamorous,Oud,100 ml,,Eau de Parfum,"Mint, Amber","Pepper, Vetiver, Rose","Sandalwood, Cedar, Resins, Patchouli, Musk",,,,,,
Caron L'Invisible qui Luit EDC,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/3/3387956910308-caron-l_invisible-qui-luit-edc-v30ml.png,637.0,Caron,Unisex,Perfume,Dynamic,Citrus,100 ml,2022,Eau de Cologne,"Fine Grains, Lemon, Bergamot, Neroli","Carnation, Violet, Jasmine, Lavender, Orange Blossoms",Vetiver,,,,,,
Smell and Smile Verve EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281000874363_-_smell_and_smile_-_smell_smile_verve_perfume_100_ml_-_100_ml_-_fd.png,249.0,Smell and Smile,Unisex,Perfume,Classical,Leather,100 ml,,Eau de Parfum,"Lemon, Grapefruit, Pepper","Ginger, Apple, Leather","Sandalwood, Tonka Bean, Amber, Vanilla",,,,,,
Tous 1920 The Origin EDT,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/4/8436550507034-tous-tous-1920-to-edt-spray-100ml.png,316.0,Tous,Men,Perfume,Natural,Woody,100 ml,2020,Eau de Toilette,"Cardamom, Sage, Grapefruit","Cinnamon, Geranium, Water Mist","Amber, Vetiver, Guaiac Wood",,,,,,
Mauboussin Discovery EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3760048796927-mauboussin-mauboussin-discovery-edp-90ml-sp.png,356.0,Mauboussin,Unisex,Perfume,Charismatic,Oriental,90 ml,2021,Eau de Parfum,"Green apple, Pink pepper, Calabrian bergamot","Cardamom, Thyme, Jasmine","Leather, Patchouli, Oak moss",,,,,,
Equal Magical EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6285535004479-_-_---magical.png,111.0,Equal,Women,Perfume,,,100 ml,,Eau de Parfum,,,,,الحمضيات المشكلة، مسك الروم، الفل الأبيض، زهرة الكمثري,,,,
Caron Montaigne Refillable Parfum,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/3/3/3387952601033-caron-30-ml-montaigne-perfume-refillable-spray.png,1230.0,Caron,Women,Perfume,Dynamic,Citrus,30 ml,1987,Parfum,"Mandarin Orange, Jasmine, Coriander, Bitter Orange, Mimosa","Black Currant, Narcissus","Mallow Musk, Vanilla, Sandalwood, Amber",,,,,,
Bentley Momentum Unbreakable EDP,"<h4 data-v-de649438="""">4.4</h4>","<span data-v-de649438="""">7 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/7/6/7640171193649-bentley-bentley-momentum-unbreakable-edp-100ml.png,399.0,Bentley,Unisex,Perfume,Sophisticated,Aromatic,100 ml,2021,Eau de Parfum,"Lavender, Violet Leaf, Mandarin","Iris, Geranium, Immortelle Flowers","Vetiver, Barberry Leaf, Patchouli",,,,,,
Roze & Oud P2 EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6281150543607-roze-_-oud-p2.png,212.0,Roze & Oud,Unisex,Perfume,Dynamic,Citrus,100 ml,,Eau de Parfum,"red orange, tangerine","Honey, Gardenia, Peach","Patchouli, caramel, licorice",,,,,,
Athal Refined EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6287041961390_-_athal_-_athal_refined_eau_de_parfum_men_-_100_ml_-_100_ml_-_fd.png,170.0,Athal,Men,Perfume,Natural,Woody,100 ml,,Eau de Parfum,,,,,,,,,
Bentley Momentum Unbreakable EDP - 100 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/7/6/7640171193649-bentley-bentley-momentum-unbreakable-edp-100ml.png,399.0,Bentley,Unisex,Perfume,Sophisticated,Aromatic,100 ml,2021,Eau de Parfum,"Lavender, Violet Leaf, Mandarin","Iris, Geranium, Immortelle Flowers","Vetiver, Barberry Leaf, Patchouli",,,,,,
Dior Gris Dior EDP - 125 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3348901123020-dior-christian-dior-gris-dior-_u_-edp-125-ml.png,1299.0,Dior,Unisex,Perfume,Sensual,Floral,125 ml,2017,Eau de Parfum,,,,,"Sandalwood, Amber, Cedar, Bergamot, Patchouli, Oakmoss, Rose",,,,
Jimmy Choo Blossom Special Edition EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/3/3386460118767-jimmy-choo-jimmy-choo-blossom-special-edition-_w_-edp-40-ml.png,199.0,Jimmy Choo,Women,Perfume,Extravagant,Fruity,40 ml,2018,Eau de Parfum,Exotic fruits,Frangipani,"White Musk, Sandalwood",,,,,,
Angel Schlesser Les Eaux D'un Instant Absolu Sensual Patchouli EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/0/8058045427018-angel-schlesser-angel-schlesser-les-eaux-d_un-instant-absolu-sensual-patchouli-_u_-edp-100-ml.png,361.0,Angel Schlesser,Unisex,Perfume,Natural,Woody,100 ml,2020,Eau de Parfum,Black pepper,Jasmine,Patchouli,,,,,,
Miller Harris Leather Rouge EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/5/0/5051198895010-miller-harris-miller-harris-leather-rouge-edp-_private-collection_-100ml.png,652.0,Miller Harris,Unisex,Perfume,Classical,Leather,100 ml,2019,Eau de Parfum,"Saffron, Black Pepper, Raspberry","Violet, Orris Root, Red Rose","Patchouli, Amber, Leather",,,,,,
Wala Perfumes Tonka Sandalwood Perfume,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3700943600257-wala-pefumes-tonka-sandalwood-edp.png,564.0,Wala Perfumes,Unisex,Perfume,Natural,Woody,50 ml,,Parfum,"Ginger, Orange blossoms","Ginger, Carnation, Gray Tobacco, Bamboo","Tonka bean, Sandalwood, Tuberose, Amber",,,,,,
Ruby Crown Cologne Eau De Cologne,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6281159005014-ruby-crown-eau-de-cologne.png,30.0,Ruby Crown,Unisex,Perfume,Sensual,Floral,250 ml,,Eau de Cologne,,,,,Lemon flowers,,,,
Anjelina Eclat Silver EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6244444454557-anjelina-_-_-_.png,99.0,Anjelina,Men,Perfume,,,100 ml,,Eau de Parfum,,,,,,,,,
Al Dakheel Oud My Mother,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">4 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6281150552241_aldakheeloud_my_mother_1.jpg,173.0,Al Dakheel Oud,Women,Perfume,Feminine,Floral,50 ml,,Eau de Parfum,,,,,Natural Roses,Gold,,,
Jo Malone English Oak & Hazelnut EDC - 30 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/9/690251057009-jo-malone-jo-malone-english-oak-_-hazelnut-_u_-cologne-30-ml.png,565.0,Jo Malone,Unisex,Perfume,Natural,Woody,30 ml,2017,Eau de Cologne,Hazelnut,Cedar,Oak,,,,,,
Goutal Paris Gardenia Passion EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/7/1/711367106709_-_goutal_-_goutal_paris_gardenia_passion_edp_-_100_ml_-_fd.png,880.0,Goutal Paris,Women,Perfume,Romantic,Floral,100 ml,1989,Eau de Parfum,"Jasmine, Gardenia","Tuberose, Orange Blossom",Vanilla,,"Alcohol Denat., Aqua (Water / Eau), Parfum (Fragrance), Benzyl Benzoate, Benzyl Salicylate, Cinnamyl Alcohol, Eugenol, Farnesol, Geraniol, Hexyl Cinnamal, Hydroxycitronellal, Isoeugenol, Limonene, Linalool",,,,
J. Del Pozo Halloween Shot,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/g/o/golden_scent_perfume_j_del_pozo_perfumes_halloween_shot_for_women_eau_de_toilette_8431754001173_1st.jpg,276.0,J. Del Pozo,Women,Perfume,Glamorous,Floral Oriental,100 ml,2016,Eau de Toilette,"Mandarin, pineapple, hazelnut","Rose water, jasmine, violet, love fruits","Patchouli, vanilla, caramel",,"Mandarin, pineapple, hazelnut, Rose water, jasmine, violet, love fruits, Patchouli, vanilla, caramel",,,,
Chanel Bleu De Chanel Deodorant,"<h4 data-v-de649438="""">4.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/b/l/bleu_de_chanel_deodorant.png,299.0,Chanel,Men,Perfume,Extravagant,Aromatic,100 ml,,,citrus,woods,amber,,"citrus, woods, amber",Black,,Luminizer,
Majda Bekkali Mon Nom Est Rouge,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/6/3613042666195_majda_bekkali_mon_nom_est_rouge_120_ml-c.jpg,1024.0,Majda Bekkali,Unisex,Perfume,Romantic,Floral,120 ml,2012,Eau de Parfum,"Pepper, Lemon, Elemi resin, Pink pepper, Aldehydes, Metallic notes","Turkish rose, Geranium, Cardamom, Cumin, Cinnamon, Ginger, Frankincense","Cedarwood, Sandalwood, Amber, Vanilla, Labdanum, Patchouli, Tonka bean, Musk",,"Pepper, lemon, elemi, pink pepper, aldehydes, metallicnotes, Turkish rose, spices: cardamom, cumin, cinnamon, ginger, incense, Woody balsamic and dry note with cedar, sandalwood, amber, vanilla, tobacco blond (labdanum, patchouli, tonka bean), musk",Brown,,,
Parfums de Marly Oriana EDP - 75 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3700578502407_parfums_de_marly_parfums_de_marly_oriana_edp_75ml.png,1386.0,Parfums de Marly,Women,Perfume,Sensual,Oriental,75 ml,2021,Eau de Parfum,"Grapefruit, Bergamot, Orange","Black currant, Raspberry, Orange Blossom","Mallow musk, Musk, Whipped Cream, Marshmallow",,,,,,
Louis Vuitton Cosmic Cloud Extrait De Parfum,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3701002703674-louis-vuitton-louis-vuitton-cosmic-cloud-extrait-de-parfum-100ml.png,3699.0,Louis Vuitton,Unisex,Perfume,Sophisticated,Chypre,100 ml,2021,Extrait de Parfum,,,,,"Bergamot, Patchouli, Black Currant, Musk",,,,
Dior Miss Dior Parfum,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">40 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3348901708920_-_dior_-_miss_dior_parfum_-_80ml_-_fd_1_.png,596.0,Dior,Women,Perfume,Sensual,Floral,50 ml,,Parfum,"Peach, Apricot, Mandarin","Jasmine, Floral, Strawberry, Wild","Atlantic Cedar, Moss, Amber, Amber Wood, Patchouli",,,,,,
Junaid Perfumes Athar EDP,"<h4 data-v-de649438="""">4.4</h4>","<span data-v-de649438="""">7 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/0/6084001491801-junaid-athar.png,80.0,Junaid Perfumes,Men,Perfume,Dynamic,Citrus,100 ml,,Eau de Parfum,Citrus,Pepper,Musk,,"Citrus, Pepper, Musk",,,,
Moschino So Real Cheap & Chic - 30 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/0/8011003838387-moschino-moschino-cheap-_-chic-so-real-_w_-edt-30-ml.png,179.0,Moschino,Women,Perfume,Natural,Citrus,30 ml,2017,Eau de Toilette,"Bitter orange, Mandarin","Raspberry, Blackcurrant sorbet, Peony, Jasmine, Magnolia","Cedarwood, Oakmoss, Ambroxan",,"Bitter orange, Mandarin, Raspberry, Blackcurrant sorbet, Peony, Jasmine, Magnolia, Cedarwood, Oakmoss, Ambroxan",,,,
Women'secret Rose Seduction EDP,"<h4 data-v-de649438="""">4.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/4/8436581940091-women_secret-ws-rose-seduction-edp-100ml.png,109.0,Women'secret,Women,Perfume,Sensual,Floral,100 ml,2019,Eau de Parfum,"Apple, Orange Blossom, Tangerine","Jasmine, Candy","Musk, Vanilla",,,,,,
Hakm Al Oud Miss Powder EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/h/a/ha1409km-hakm-al-oud-_-miss-powder.png,180.0,Hakm Al Oud,Unisex,Perfume,Sensual,Floral,50 ml,,Eau de Parfum,"Mandarin, Orchid","Peony, Magnolia","Vanilla, White Amber, Musk, Omani Frankincense",,,,,,
Al Qasim Oud Marvel Parfum,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6283888223332_-_al_qasim_oud_-_marvel_-_50_ml_-_fd.png,299.0,Al Qasim Oud,Unisex,Perfume,Natural,Woody,50 ml,,Parfum,"Dates, Saffron","Omani Frankincense, Cymbal Wood","Cambodian Oud, Leather, Coffee, Amber",,,,,,
Yves Saint Laurent Paris,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">25 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/y/v/yves_saint_laurant_paris_edt_1_.jpg,564.0,Yves Saint Laurent,Women,Perfume,,Mossy Woods,125 ml,,Eau de Toilette,,,,Perfume,"Rose, Violet, Hiacynth, Mimosa, Iris, Geranium, Lily",,,,
Armand Basi In Red,"<h4 data-v-de649438="""">4.8</h4>","<span data-v-de649438="""">256 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_armand_basi_perfumes_in_red_for_women_eau_de_toiletteqqqqq_1.jpg,261.0,Armand Basi,Women,Perfume,Feminine,Oriental,100 ml,2003,Eau de Toilette,"Ginger, Mandarin, Bergamot, Cardamom","Rose, Lily, Violet Leaves, Jasmine","Moss, Wood, Musk",,"Violet Leaves, Ginger, Moss, Mandarin, Mergamot, Cardamom, Wood, Rose, Lily, Musk, Jasmine","Transparent,Red",,,
Prada Un Chant D’Amour EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/4/8435137740819-prada-prada-olfactories-un-chant-d_amour-_u_-edp-100-ml.png,1369.0,Prada,Unisex,Perfume,Romantic,Floral,100 ml,2015,Eau de Parfum,"Orange Blossom, Bergamot","Cotton Flower, Neroli, Jasmine, Lily of the Valley","Musk, Benzoin.",,,,,,
Middle Mist Arabic Leather EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/6/2/6281104913463_-_middle_mist_-_arabic_leather_-_50_ml_-_fd.png,250.0,Middle Mist,Unisex,Perfume,Classical,Leather,50 ml,,Eau de Parfum,,,,,"Leather, Amber, Oud",,,,
Ted Lapidus Oud Blanc EDP - 100 ml,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3355992007702-ted-lapidus-ted-lapidus-oud-blanc-_u_-edp-100-ml.png,161.0,Ted Lapidus,Unisex,Perfume,Natural,Woody,100 ml,2014,Eau de Parfum,"Saffron, Peach","Oud, Rose, Jasmine","Vanilla, Patchouli, Musk.",,"Saffron, Peach, Oud, Rose, Jasmine, Vanilla, Patchouli, Musk.",,,,
Maison Margiela Flower Market EDT,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">4 Ratings</span>",//assets.goldenscent.com/catalog/product/3/6/3605521651167-maison-margiela-maison-margiela-replica-flower-market-_w_-edt-100-ml.png,771.0,Maison Margiela,Women,Perfume,Romantic,Floral,100 ml,2012,Eau de Toilette,"Green Leaves, Freesia","May Flower, Egyptian Jasmine, Jasmine Sambac, Tuberose","Cedar, Oak Moss, Peach",,"Alcohol Denat, Aqua/water, Parfum/fragrance, Benzyl Salicylate, Linalool, Benzyl Alcohol, Hydroxycitronellal, Butyl Methoxydibenzoylmethane, Hexyl Cinnamal, Ethylhexyl Methoxycinnamate, Geraniol, Alpha-isomethyl Ionone, Bht, Ethylhexyl Salicylate, Methyl",,,,
Calvin Klein Obsession for Women,"<h4 data-v-de649438="""">4.9</h4>","<span data-v-de649438="""">18 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_calvin_klein_perfumes_obsession_for_women_eua_de_parfum.jpg,144.0,Calvin Klein,Women,Perfume,Romantic,Floral,100 ml,1985,Eau de Parfum,"Bergamot, mandarin, Citrus, neroli essence, elemi","Jasmine, orange blossom, Violet leaf absolute, white lavender, purple sage","Patchouli, amber, Musk helvetolide , ambrette, muscenone",,"Spices, Amber, Incense, Vanilla, Sandalwood, Civet",Brown,,,
Anfasic Dokhoon Spray Wow,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">25 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6291107640587_anfasic_dokhoon_anf_spray_75ml_wow_1_1.jpg,525.0,Anfasic Dokhoon,Unisex,Perfume,Romantic,Floral,75 ml,,Eau de Parfum,Raspberry,"Osmanthus, bitter","Agarwood, Amber",,"Raspberry, Osmanthus, bitter, Agarwood, Amber.",,,,
Maa AlThahab Hear Me Now EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/6/8681637450967_-_maa_althahab_-_hear_me_now_-_75_ml_-_fd.png,150.0,Maa AlThahab,Women,Perfume,Sensual,Floral,75 ml,,Eau de Parfum,"Pear, Marine Notes, Lemon","Jasmine, Freesia, Lily of the Valley","Peach Peel, Musk, Patchouli, Amber",,,,,,
Chanel Coco Noir,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">108 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/c/h/chanel-coco-noir.jpg,615.0,Chanel,Women,Perfume,Charismatic,Oriental,50 ml,2010,Eau de Parfum,"Grapefruit, bergamot, orange","jasmine, rose, narcissus, geranium, peach","tonka, patchouli, sandalwood, vanilla, white musk, frankincense, benzoin, clove.",Perfume,"Grapefruit, bergamot, orange, jasmine, rose, narcissus, geranium, peach, tonka, patchouli, sandalwood, vanilla, white musk, frankincense, benzoin, clove.",,,,
Tesori D'Oriente Thai Spa EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/8/0/8008970048604-tesori-d_oriente-thai-spa-100-ml.png,58.0,Tesori D'Oriente,Unisex,Perfume,Sensual,Floral,100 ml,2019,Eau de Parfum,"Mandarin, Neroli, Tuberose","Rose, Spice, Hibiscus, Mango","Vanilla, Woods, Patchouli",,,,,,
Prada Double Dare EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/8/4/8435137740345-prada-prada-olfactories-double-dare-_u_-edp-100-ml.png,1149.0,Prada,Unisex,Perfume,Classical,Leather,100 ml,2015,Eau de Parfum,"Bergamot, Pepper, Pink Pepper","Orris, Labdanum, Rose","Leather, Tolu Balsam, Amber, Vanilla, Patchouli",,,,,,
Samans White Rain EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/s/a/sa10006-samans-_-_-_.png,189.0,Samans,Women,Perfume,,,70 ml,,Eau de Parfum,رائحة المطر ، النيرولي ، الكشمش الأسود,الورد ، الياسمين ، اليلنغ يلنغ,المسك ، العنبر,,,,,,
Arabian Oud Khalejiah Special Edition,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6281101824977_arabian_oud_100_ml_1.jpg,173.0,Arabian Oud,Unisex,Perfume,Extravagant,Aromatic,100 ml,,Eau de Parfum,,,,,"Bergamot, tea, neroli, jasmine, musk, vanilla, patchouli, amber",,,,
