الاسم,rating,total_ratings,img,السعر النهائي,Brand,Gender,Product Type,Character,Fragrance Family,Size,Year of Launch,Concentration,Top Notes,Middle Notes,Base Notes,Category,Ingredients,Product Color,Preferences,Makeup Type,Search Key
Ban Perfumes Luster Oud EDP,"<h4 data-v-de649438="""">3.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/3/3/3394022500400-ban-perfume-luster-oud.png,370.0,Ban Perfumes,Unisex,Perfume,Modern,Oud,100 ml,,Eau de Parfum,,,,,"Cambodian Oud, Indian Oud, Musk",,,,
Christian Dior Belle De Jour EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3348901395533_-_dior_-_christian_dior_belle_de_jour_unisex_eau_de_parfum_250ml_-_250_ml_fd.png,2199.0,Dior,Unisex,Perfume,Extravagant,Fruity,250 ml,2018,Eau de Parfum,,,,,"Woods, Pear Ice Cream, White Peach, Powder, Rose, White Pear, Pear",,,,
Rosendo Mateu No. 6 EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">3 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/4/8436018276212-rosendo-mateu-rm---rosendo-mateu-6-edp-100ml.png,910.0,Rosendo Mateu,Unisex,Perfume,Sensual,Floral,100 ml,2018,Eau de Parfum,"Green Notes, Coconut, Floral, Jasmine Sambac, Exotic Fruits","Spices, Sandalwood","Amber, Vanilla, White Musk",,,,,,
Tom Ford Rose Prick Splash EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/8/8/888066107792-tom-ford-tom-ford-rose-prick-_u_-edp-250-ml-splash.png,3369.0,Tom Ford,Unisex,Perfume,Sensual,Floral,250 ml,2020,Eau de Parfum,,,,,"Bulgarian Rose, Turmeric, Indonesian Patchouli, Sichuan Pepper, Roasted Tonka Bean, Tolu Balsam",,,,
Jo Malone London Rose & White Musk Absolu EDC,"<h4 data-v-de649438="""">4.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/6/9/690251056217-jo-malone-jo-malone-rose-_-white-musk-absolu-_u_-cologne-100-ml.png,1550.0,Jo Malone,Unisex,Perfume,Romantic,Floral,100 ml,2018,Eau de Cologne,,,,,,,,,
Essential Parfums Divine Vanille EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/7/3770010614623_-_essential_parfums_-_essential_parfums_divine_vanille_unisex_eau_de_parfum_100ml_refillable_-_100_ml_-_fd.png,585.0,Essential Parfums,Unisex,Perfume,Charismatic,Oriental,100 ml,2019,Eau de Parfum,"Sage, Black Pepper, Cinnamon","Pomarosa, Osmanthus, Incense","Musk, Patchouli, Texas Cedar, Benzoin, Tonka Bean, Madagascar Vanilla",,,,,,
Lord of History Oriental Extrait De Parfum,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/1/0/1077885287849_-_lord_of_history_-_-_80_ml_-_fd.png,283.0,Lord of History,Unisex,Perfume,Charismatic,Oriental,80 ml,,Extrait de Parfum,"Cloves, Purple",Amber,"Vanilla, Musk",,,,,,
Johan.B Sensual Girl EDP,"<h4 data-v-de649438="""">3.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/3/7/3700134408938-johan.b-johan.b-sensual-girl-edp---85-ml.png,52.0,Johan.B,Women,Perfume,Charismatic,Oriental,85 ml,,Eau de Parfum,"Bitter orange, Lemon","Damask rose, Rose grass, Orange blossom","Sandalwood, Tonka bean, Vanilla, Almond, Tolu balsam, Cashmere wood, Heliotrope wood",,,,,,
Aradous Perfumes Marseille,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">2 Ratings</span>",//assets.goldenscent.com/catalog/product/9/7/9780201379709_aradous_perfume_marseille_1.jpg,344.0,Aradous Perfumes,Unisex,Perfume,Sophisticated,Aromatic,50 ml,2019,Eau de Parfum,"Pear, Pink Pepper","Tuberose, Jasmine, Ylang Ylang","Amber, Musk, Patchouli",,"Pear, Pink Pepper, Tuberose, Jasmine, Ylang Ylang, Amber, Musk, Patchouli",,,,
Boadicea Green Sapphire EDP,"<h4 data-v-de649438="""">0</h4>","<span data-v-de649438="""">0 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/5/0/5060475231960-boadicea-green-sapphire.jpg,3375.0,Boadicea,Unisex,Perfume,Natural,Woody,100 ml,2016,Eau de Parfum,"Violet Leaf, Raspberry, Saffron","Cashmeran, Pine needles","Sandalwood, Atlas Cedar.",,"Violet Leaf, Raspberry, Saffron, Cashmeran, Pine needles, Sandalwood, Atlas Cedar.",,,,
Berdoues Somei Yoshino EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/3/3331849002458-ber-somei-yoshino-edp-100ml.png,515.0,Berdoues,Women,Perfume,Sensual,Floral,100 ml,,Eau de Parfum,Chisso,Jasmine Sambac,Patchouli,,,,,,
Roja Amber Aoud EDP,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">1 Ratings</span>",//assets.goldenscent.com/catalog/product/5/0/5060270291015-roja-parfums-roja-parfums-amber-aoud-_u_-edp-100-ml-2.png,3999.0,Roja,Unisex,Perfume,Natural,"Woody,Woody",100 ml,2012,Eau de Parfum,"Lemon, Green Lemon, Bergamot","Jasmine, Ylang-ylang, Fig, Rose","Patchouli, oak moss, sandalwood, musk, orris root, civet, birch, cinnamon, saffron, amber, agarwood",,,,,,
Lancome Magie Noire EDT,"<h4 data-v-de649438="""">5.0</h4>","<span data-v-de649438="""">4 Ratings</span>",//assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/6/3605530262309-lancome-lancome-magie-noire-_l_-edt-75-ml.jpg,541.0,Lancome,Women,Perfume,Natural,,75 ml,1978,Eau de Toilette,"Bulgarian Rose, Blackcurrant Bud","Jasmine, Ylang-Ylang","Amber, Sandalwood, Patchouli",,"Bulgarian Rose, Blackcurrant Bud, Jasmine, Ylang-Ylang, Amber, Sandalwood, Patchouli",,,,
