الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,المكونات,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,اللون,سنة الإصدار,Category,نوع المكياج,مفتاح البحث
دولتشي غابانا بور فيم انتنس,359,دولتشي آند غابانا,نسائي,عطور,13011,زهرية شرقية,50 مل,أليوسفي الأخضر، زهر البرتقال، مسك الروم، زهر البرتقال، المارشيملو، خشب الصندل.,أو دو برفيوم,زهر البرتقال، الماندرين الأخضر,زهر البرتقال، مسك الروم,حلوى المارشيملو، خشب الصندل,,2013,عطور,,
بارفيوم دو مارلي ديلينا معطر للشعر,335,بارفيوم دو مارلي,نسائي,عطر للشعر,رومانسية,زهرية,75 مل,الليمون العطري، راوند الحدائق، ليتشي، جوزة الطيب، الورد، الفاوانيا، الفانيليا، المسك، مركب الكشمير الكميائي، الأخشاب,,الورد،  الفاوانيا,ليتشي، راوند الحدائق، جوزة الطيب,الفانيليا، المسك، اللبان,,,,,
ايف سان لوران واي أو دو برفيوم,437,اف سان لوران,رجالي,عطور,رجولية,خشبية,60 مل,البرغموت، زنجبيل ، تفاح، المريمية، زهرة غرنوقي ، توت، نجيل الهند، خشب الأرز، حبوب التونكا، خشب العنبر، أوليبانوم,أو دو برفيوم,,,,أسود,2018,,,
قوتشي قلتي ابسولوت بور فيم,311,قوتشي,نسائي,عطور,أنثوية,شرقية خشبية,50 مل,توت أسود، ورد، السرو، نجيل الهند، جلد، نفحات خشبية، باتشولي,أو دو برفيوم,توت أسود,ورد، السرو، نجيل الهند,جلد، نفحات خشبية، باتشولي,بنفسجي,2017,,,
مقام مجموعة مقام وهيبة,299,مقام,رجالي/نسائي,مجموعات,,,,,,,,,,,,,
توم فورد أومبري ليذر أو دو برفيوم,904,توم فورد,رجالي/نسائي,عطور,كلاسيكية,جلدية,100 مل,الحبهان، الفل، الباتشولي، العنبر و الطحالب.,أو دو برفيوم,الحبهان.,الفل.,"الباتشولي, العنبر و الطحالب.",أسود,2018,,,
مونت بلانك إكسبلورر,277,مونت بلانك,رجالي,عطور,جذابة,أروماتيك,100 مل,المريمية المتصلبة، الفلفل الوردي، البرجموت، الباتشولي، ماهونيال، أمبروفيكس (عنبر)، نجيل الهند، الجلود، خشب الأرز,أو دو برفيوم,المريمية المتصلبة، الفلفل الوردين البرجموت,الباتشولي، ماهونيال، أمبروفيكس,نجيل الهند، الجلود، خشب الأرز,أسود,2019,,,
مجموعة الزهر - 5 قطع,647,مجموعات حصرية,نسائي,مجموعات,,,,,,,,,,,,,
"روبرتو كافالي ""روبرتو كفالي""",217,روبرتو كافالي,نسائي,عطور,عصرية,زهرية شرقية,75 مل,الفلفل الوردي، زهرة البرتقال الأفريقي، الجاوي، التونكا، الفانيليا.,أو دو برفيوم,فلفل وردي,زهرة البرتقال الأفريقي,الجاوي، التونكا، الفانيليا.,,2012,,,
قوتشي بلوم - 100 مل,668,قوتشي,نسائي,عطور,أنثوية,زهرية,100 مل,البرتقال، نوتات خضراء، مسك الروم الطبيعي، الياسمين ، مستخلص براعم الياسمين، جذر السوسن، خشب الصندل، الفانيليا,أو دو برفيوم,البرتقال، نوتات خضراء,مسك الروم الطبيعي، الياسمين المطلق، مستخلص براعم الياسمين,جذر السوسن، خشب الصند ، الفانيليا,وردي,2017,,,
مجموعة التنوّع الرجاليّة - 10 قطع,599,مجموعات حصرية,رجالي,مجموعات,,,,,,,,,,,,,
