الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,سنة الإصدار,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,Category,المكونات,اللون,النوتات العُليا,النوتات المتوسطة,النوتات القاعدية,التركيبة,نوع المكياج,مفتاح البحث
لي بارفيوم دو روزين بول دي روز أو دو برفيوم,695,لي بارفيوم دو روزين,نسائي,عطور,رومانسية,زهرية,100 مل,2021,أو دو برفيوم,خلاصة البرغموت، زيت الإيليمي، الكشمش الأسود,صابون، ورد تركي، أوراق شجر الطماطم,زيت سيبريول، خلاصة الباتشولي، امبروكسان، خشب الصندل,,البرغموت، الكشمش الأسود، الصابون، ورد تركي، أوراق شجر الطماطم، زيت سيبريول، خلاصة الباتشولي، امبروكسان، خشب الصندل,,,,,,,
كاج ليفلز أو دو برفيوم,109,درعه,رجالي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,البرجموت، الزعفران، الشيح,الياسمين,أخشاب السدر، المسك، العنبر، الباتشولي، نجيل الهند,,,,,,,,,
بورن إن فرانس آيريس عود برفيوم,59,بورن إن فرانس,نسائي,عطور,متألقة,عود,100 مل,,برفيوم مركز,,,,,السوسن، العود,,,,,,,
كيت سبيد نيويورك أو دو برفيوم,339,كيت سبيد,نسائي,عطور,حيوية,فاكهية,60 مل,2020,أو دو برفيوم,الحمضيات، البرجموت، الفراولة البرية,الورد، الفريزيا,كشميران، أمبروكسان,,,,,,,,,
ثمين بلو هارت إكستريت دو برفيوم,865,ثمين,رجالي/نسائي,عطور,جذابة,أروماتيك,50 مل,,إكستريت دو برفيوم,زعفران، جوز الهند الأبيض,الفانيليا، السوسن، الميموزا، التونكا,المسك الأبيض، العنبر، ناجارموثا,,,,,,,,,
ذا بودي شوب بلاك مسك,234,ذا بودي شوب,رجالي/نسائي,عطور,راقية,خشبية,60 مل,2014,أو دو تواليت,البرغموت والكمثرى والفلفل الوردي,يلانغ يلانغ ، الهليوتروب ، عرق السوس,قشر الفانيليا السوداء ، المسك الأسود ، الباتشولي ، نجيل الهند ، الشوكولاتة,,,,,,,,,
جوفان وايت مسك,37,جوفان,نسائي,عطور,حيوية,مائية منعشة,59 مل,1990,أو دو كولون,,,,,الياسمين، يلانج، زهر العسل، عنبر، المسك الأبيض، مكونات خشبية,,,,,,,
ديبتيك تام داو,1068,ديبتيك,رجالي/نسائي,عطور,محبة للطبيعة,زهرية,100 مل,2003,أو دو تواليت,الورد، السرو,خشب الأرز، خشب الصندل,العنبر، المسك الأبيض، خشب الورد البرازيلي,,الورد، خشب السرو ، خشب الأرز، خشب الصندل، العنبر، المسك الأبيض، خشب الورد البرازيلي,"أسود,أبيض",,,,,,
مونتال صن سيت فلورز,329,مونتال,رجالي/نسائي,عطور,رومانسية,زهرية,50 مل,2008,أو دو برفيوم,,,,,الورد، البنفسج، الحبوب الدقيقة، التفاح الأخضر، الأوراق الخضراء، البابونج,,,,,,,
بوليفارد باريس نوتر دامي أو دو برفيوم - 100 مل,109,بوليفارد باريس,نسائي,عطور,حسية,زهرية,100 مل,,أو دو برفيوم,الفريزيا، الكاسيس,الورد، الباتشولي,الفانيليا، الأخشاب,,,,,,,,,
