الاسم,السعر النهائي,الماركة,الجنس,نوع المنتج,شخصية عطرك,العائلة العطرية,الحجم,سنة الإصدار,نسبة التركيز,مقدمة العطر,قلب العطر,قاعدة العطر,Category,المكونات,اللون,النوتات العُليا,النوتات المتوسطة,النوتات القاعدية,التركيبة,نوع المكياج,مفتاح البحث
بييرا  كاترا انجوي مي أو دو برفيوم,88,بييرا كاترا,نسائي,عطور,محبة للطبيعة,خشبية,80 مل,,أو دو برفيوم,العود,الأخشاب، العود، المسك,العود الكشميري، أمبروكسان,,,,,,,,,
نارسيسو رودريغز وايلد تيوبروز أو دو برفيوم إنتنس,1001,نارسيسو رودريغز,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,2024,أو دو برفيوم انتنس,شاي الياسمين، الخوخ,الياسمين، مسك الروم,أخشاب الأرز، العنبر، المسك,,,,,,,,,
لارك إيسكابادي فانيل,874,لارك,رجالي/نسائي,عطور,رومانسية,فاكهية,100 مل,2013,أو دو برفيوم,,,,,الخوخ، الورد، الفانيليا، المسك.,,الخوخ,الورد,الفانيليا، المسك.,,,
بوديسيا فاير سافير أو دو برفيوم,3550,بوديسيا,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2020,أو دو برفيوم,البرقوق، الإيلنغ، البرجموت، الورد,زهور بلغاريا، هيديون، ياسمين سمباك، كشميران,المسك، العنبر الكريستالي، الأخشاب الثمينة، خشب الصندل، الفانيليا، الباتشولي,,,,,,,,,
كولايف فور ايفر بلاك كود أو دو برفيوم,159,كولايف فور ايفر,رجالي,عطور,,,100 مل,,أو دو برفيوم,,,,,,,,,,,,
ميمو باريس جنات,1064,ميمو باريس,رجالي/نسائي,عطور,حيوية,حمضية,75 مل,2008,أو دو برفيوم,,,,,البرجموت، الليمون، جنين القمح التونسي، الماندرين، النيرولي، حبوب التونكا، المسك,,,,,,,
مظفر عطرجي سفاري أو دو تواليت,115,مظفر عطرجي,رجالي/نسائي,عطور,الكلاسيكية,جلدية,100 مل,,أو دو تواليت,,,,,الزهور الطبيعية، الفل، الياسمين,,,,,,,
درعه للعود الشراع أو دو برفيوم,174,درعه,رجالي/نسائي,عطور,جذابة,شرقية,80 مل,,أو دو برفيوم,,,,,التوت، الكمثرى، أخشاب الأرز، الفانيليا، العنبر، أخشاب الصندل,,,,,,,
عطور نقاء الخزامى الدرعية أو دو برفيوم,230,عطور نقاء الخزامى,رجالي/نسائي,عطور,جذابة,شرقية,50 مل,,أو دو برفيوم,,,,,التبغ، أخشاب الصندل، البخور، المسك,,,,,,,
بنهاليغونز العلا أو دو برفيوم,1850,بنهاليغونز,رجالي/نسائي,عطور,متألقة,شرقية,100 مل,2024,أو دو برفيوم,الفلفل الأسود، الهيل الجواتيمالي، البخور,التبغ، الزعفران، البرقوق الأسود,الكركم، الفانيليا,,,,,,,,,
عطور غنى G3 أو دو برفيوم,350,عطور غنى,رجالي/نسائي,عطور,,,100 مل,,أو دو برفيوم,,,,,قنب، روائح خضراء، راتينج، تبغ، قهوة، خشب العود، بخور، خشب الغايك,,,,,,,
إيست تو ويست كود برفيوم,150,إيست تو ويست,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,برفيوم مركز,,,,,الأخشاب، التوابل، رائحة الطبينه.,,,,,,,
عطر باش وايز مايند أو دو برفيوم,385,عطر باش,رجالي/نسائي,عطور,راقية,شرقية خشبية,100 مل,2021,أو دو برفيوم,إليمي، أخشاب الصندل,الزهور البيضاء,أخشاب الصندل، الفانيليا، الكشمير، المسك,,,,,,,,,
هيرمس فيوليت فولينكا أو دو تواليت,1957,هيرمس,رجالي/نسائي,عطور,كلاسيكية,جلدية,100 مل,2022,أو دو تواليت,,,,,أوراق البنفسج، الجلود، البنفسج الفرنسي,,,,,,,
بييرا كاترا روبنسون V أو دو برفيوم,109,بييرا كاترا,رجالي/نسائي,عطور,جذابة,شرقية,85 مل,,أو دو برفيوم,,,,,,,,,,,,
فيليب بلين نو ليميتس سوبر فريش أو دو تواليت,427,فيليب بلين,رجالي,عطور,محبة للطبيعة,خشبية,50 مل,2021,أو دو تواليت,الكشمش الأسود، الأرطماسيا، نفحات البحر، التين الأسود، اللافندر,الفلفل الأسود، الجريب فروت، البرغموت، الزنجبيل، الهيل,الفانيليا، الجلود، خشب الصندل، الأرز، الشوكولاتة البيضاء، الروائح الخشبية، الباتشولي، المسك، العنبر.,,الكشمش الأسود، الأرطماسيا، نفحات البحر، التين الأسود، اللافندر، الفلفل الأسود، الجريب فروت، البرغموت، الزنجبيل، الهيل، الفانيليا، الجلود، خشب الصندل، الأرز، الشوكولاتة البيضاء، الروائح الخشبية، الباتشولي، المسك، العنبر.,,,,,,,
روبرتو كافالي وايلد إنسينس أو دو برفيوم,1150,روبرتو كافالي,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,2021,أو دو برفيوم,التمر، الكونياك، اللبان,خشب الغاياك، الجلد الأسود,حبوب التونكا، الجاوي، نجيل الهند,,,,,,,,,
دوسيتا ايسارا أو دو برفيوم,1668,دوسيتا,رجالي/نسائي,عطور,محبة للطبيعة,"خشبية,خشبية",50 مل,2016,أو دو برفيوم,إبر الصنوبر، المرمرية,الكومارين، التبغ، نجيل الهند,النوتات الخشبية، المسك، العنبر، طحلب البلوط,,إبر الصنوبر، المرمرية، الكومارين، التبغ، نجيل الهند، طحلب البلوط، النوتات الخشبية، المسك، العنبر,,,,,,,
تيزيانا تيرينزي ديونيسيو,941,تيزيانا تيرينزي,رجالي/نسائي,عطور,حيوية,أروماتيك,100 مل,2014,إكستريت دو برفيوم,العنبر والمسك والفيرومون,الفانيليا التاهيتي، الياسمين وزنبق الوادي,العود والمسك وفانيليا مدغشقر والفيرومون,,العنبر والمسك والفيرومون، الفانيليا التاهيتي، الياسمين وزنبق الوادي والعود والمسك وفانيليا مدغشقر والفيرومون,,,,,,,
جاكوار فيجن سبورت,120,جاكوار,رجالي,عطور,رجولية,خشبية,100 مل,2011,أو دو تواليت,برغموت، برتقال، فلفل وردي، ليمون,وائح أوراق الشجر الخضراء، ياسمين، خزامى، زهر البرتقال,عنبر، مسك، بتشول، خشب الأرز,,"توت العلّيق، كشمش أسود، إجاص ناشي,وائح أوراق الشجر الخضراء، ياسمين، خزامى، زهر البرتقال,عنبر، مسك، بتشول، خشب الأرز","شفاف,أسود",,,,,,
جنيد للعطور رزين أو دو برفيوم,150,جنيد للعطور,رجالي/نسائي,عطور,جذابة,شرقية,60 مل,,أو دو برفيوم,الحمضيات، البرجموت,أوسمانثوس، العنبر، أخشاب الأرز,الباتشولي، العود,,,,,,,,,
لطافة محاسن كريستال فايولت أو دو برفيوم,50,لطافة,رجالي/نسائي,عطور,راقية,شرقية خشبية,100 مل,,أو دو برفيوم,البرجموت، اليوسفي، التفاح، الكشمش الأسود، النكتارين,المانغوليا، الجاردينيا، زنابق الوادي، الفريزيا، الياسمين,العنبر، الباتشولي، الفانيليا، المسك، خشب الصندل,,البرجموت، اليوسفي، التفاح، الكشمش الأسود، النكتارين، المانغوليا، الجاردينيا، زنابق الوادي، الفريزيا، الياسمين، العنبر، الباتشولي، الفانيليا، المسك، خشب الصندل,,,,,,,
لي بارفيوم دو روزين روز نو أو دو برفيوم,695,لي بارفيوم دو روزين,نسائي,عطور,رومانسية,زهرية,100 مل,2017,أو دو برفيوم,النوتات الخضراء، اليوسفي، الألدهيدات,الفانيليا، حجر الدم، الورد التركي,أخشاب الصندل، امبروكسان، المسك، السويدي,,,,,,,,,
كارتير VIII لو أور ديافين,1299,كارتير,نسائي,عطور,أنثوية,زهرية,75 مل,2011,أو دو برفيوم,فاوانيا، ورد، ليتشي، خشب الصنوبر، أور ديافان، ايونون,,,,ليمون حلو، يوسفي، ليمون، نيرولي,وردي,,,,,,
توماس كوسمالا باريس رقم 7 لو سيل دي لا تير أو دو برفيوم,865,توماس كوسمالا,رجالي/نسائي,عطور,حيوية,أروماتيك,100 مل,2018,أو دو برفيوم,البرغموت، مياه البحار، الليمون الإيطالي,الأزهار، قطرات المياه,الأخشاب، المسك,,البرغموت، مياه البحار، الليمون الإيطالي، الأزهار، قطرات المياه، الأخشاب، المسك,,,,,,,
إسكادا شو مي لاف ليميتيد إديشن أو دو برفيوم,345,اسكادا,نسائي,عطور,حسية,زهرية,100 مل,2022,أو دو برفيوم,التوت الأزرق,الياسمين,التوت، الماكرون,,,,,,,,,
عدنان بي مان أو دو تواليت,63,عدنان بي,رجالي,عطور,جذابة,شرقية,100 مل,,أو دو تواليت,اللوتس، البرجموت، الكمثرى,أخشاب الصندل، أخشاب الكشمير، العنبر,المسك، حبوب التونكا، العسل,,,,,,,,,
لورينزو فيلوريسي إيبيربوريا,659,لورينزو فيلوريسي فيرنزي,رجالي/نسائي,عطور,رومانسية,زهرية,100 مل,2010,أو دو تواليت,زنبق الوادي، بخور مريم، مكونات خضراء، اليوسفي، برتقال، خوخ، زهور، حمضيات,زنبق الوادي، بخور مريم، مكونات خضراء، اليوسفي، برتقال، خوخ، زهور، حمضيات,مسك، ياسمين، زهر برتقال أفريقي، مكونات خشبية، ورود بيضاء.,,زنبق الوادي، بخور مريم، مكونات خضراء، اليوسفي، برتقال، خوخ، زهور، حمضيات، ماغنوليا، ميموزا، زهور بيضاء، زنبق الوادي، مسك، ياسمين، زهر برتقال أفريقي، مكونات خشبية، ورود بيضاء.,,,,,,,
أتيلير دي أورس شور دي انجيس أو دو برفيوم,966,أتيلير دي أورس,رجالي/نسائي,عطور,جذابة,زهرية شرقية,100 مل,2018,أو دو برفيوم,الكشمش الأسود، الكمثرى، برتقال الدم الزغلول,زهور البرتقال، بذور الجزر، أوسمانثوس,أخشاب الأرز، العنبر، العسل,,,,,,,,,
جورجيو ارماني امبوريو ارماني سترونجر ويذ يو أبسولوتلي أو دو برفيوم - 100 مل,592,جورجيو ارماني,رجالي,عطور,حيوية,أروماتيك,100 مل,2017,أو دو برفيوم,الروم، الإيليمي، البرغموت,الافندر، الدافانا,الكستناء، فانيليا مدغشقر، الباتشولي، خشب الأرز.,,الروم، الإيليمي، البرغموت، الافندر، الدافانا، الكستناء، فانيليا مدغشقر، الباتشولي، خشب الأرز.,,,,,,,
سويس أربيان عنبر آند أبريكوت 1413 أو دو برفيوم,153,سويس أربيان,نسائي,عطور,ديناميكية,حمضية,100 مل,2024,أو دو برفيوم,البرتقال، الليمون، البرجموت,التين، المشمش، العنب، الرمان,العنبر، المسك، الفانيليا,,,,,,,,,
برادا ليس إنفيوجن دي إنفيوجن دي فانيلي أو دو برفيوم,805,برادا,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,2022,أو دو برفيوم,الدخان، البرجموت، الفانيليا,أنجليكا، النيرولي,الفانيليا,,,,,,,,,
ديور سبايسي بليند أو دو برفيوم,1673,ديور,رجالي/نسائي,عطور,راقية,شرقية ناعمة,125 مل,2019,أو دو برفيوم,الزنجبيل، الرم,الكسبرة، جوزة الطيب، القرنفل، الفلفل الأسود، القرفة، الفلفل الوردي,الأخشاب، أوراق الخليج,,,,,,,,,
فولناي يابانا,880,فولناي,نسائي,عطور,أنثوية,جلدية,100 مل,2013,أو دو برفيوم,البارغموت، الفلفل الوردي، الجريب فروت الوردي، نارنج,الإيلنغ، الورد، الفانيليا، قرنفل، عبير البودر، الراتينج,بنزوين - الجاوي، عدان، الباتشولي، الأرز، زهور السوسن، الفانيليا.,,البارغموت، الفلفل الوردي، الجريب فروت الوردي، النارنج، الإيلنغ، الورد، الفانيليا، قرنفل، عبير البودر، الراتينج، بنزوين - الجاوي، عدان، الباتشولي، الأرز، زهور السوسن، الفانيليا.,أصفر,,,,,,
تيسوري دي أورينت كشمير صندل وود آند فتيفر أو دو برفيوم,58,تيسوري دي أورينت,رجالي/نسائي,عطور,محبة للطبيعة,خشبية ترابية,100 مل,,أو دو برفيوم,البرجموت، الزنجبيل,الورد، الشاي الأخضر، البنزين,نجيل الهند، أخشاب الكشمير، أخشاب الصندل,,,,,,,,,
القاسم للعود رزه برفيوم,209,القاسم للعود,رجالي/نسائي,عطور,حسية,زهرية,50 مل,,برفيوم مركز,أوريجانو,العود اللاوسي,الجلود، الأخشاب، العنبر,,,,,,,,,
دارقوستو مور بيوتي وذ يو أو دو برفيوم,197,دارقوستو,نسائي,عطور,,,100 مل,,أو دو برفيوم,,,,,الكشمش الأسود، الفلفل الوردي، البازلاء الحلوة، جلاديولس، الورد التركين النوجا، العنبر,,,,,,,
فرزاتشي فلور دو مات أو دو برفيوم,1165,فرزاتشي,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2021,أو دو برفيوم,,,,,اللبان، الأرز الأطلسي، سيستوس إنكانوس، الرفيق، الباتشولي، زيت سيبريول,,,,,,,
دار عطور ولاء عنبر وود برفيوم,552,دار عطور ولاء,رجالي/نسائي,عطور,جذابة,زهرية شرقية,50 مل,,برفيوم مركز,الليمون، الفانيليا,الورد، الباتشولي، الياسمين,العنبر، خشب الصندل، حبوب التونكا، الفانيليا,,,,,,,,,
جو مالون بوبي اند بارلي أو دو كولون - 30 مل,499,جو مالون,رجالي/نسائي,عطور,حيوية,فاكهية,30 مل,2019,أو دو كولون,البنفسج، الكشمش الأسود، التين,شقائق النعمان، البودرة، القمح,النخالة، الشعير، المسك الأبيض,,البنفسج، الكشمش الأسود، التين، شقائق النعمان، البودرة، القمح، النخالة، الشعير، المسك الأبيض,,,,,,,
أفنان هاينيس X براون أو دو برفيوم,978,أفنان,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,البرجموت، الكشمش الأسود، حبوب التونكا,الباتشولي، نجيل الهند,التوابل، المسك، أخشاب الغاياك,,,,,,,,,
إيليكتيموس تراجان,937,إيليكتيموس,رجالي/نسائي,عطور,حيوية,حمضية,100 مل,,أو دو برفيوم,الماندرين، الليمون، البرغموت، البرتقال الأحمر.,اللافندر، الميرمية، الزعفران.,خشب الأرز، طحلب البلوط، العنبر الرمادي.,,الماندرين، الليمون، البرغموت، البرتقال الأحمر، اللافندر، الميرمية، الزعفران، خشب الأرز، طحلب البلوط، العنبر الرمادي.,,,,,,,
لاكوست بور أوم,129,لاكوست,رجالي,عطور,حيوية,أروماتيك,50 مل,2002,أو دو تواليت,الجريب فروت، البرقوق، التفاح، البرغموت,القرفة، الفلفل الوردي، العرعر، الحبهان,اللبان، خشب الصندل، المسك، الفانيليا، الروم، خشب الأرز.,,الجريب فروت، البرقوق، التفاح، البرغموت، القرفة، الفلفل الوردي، العرعر، الحبهان، اللبان، خشب الصندل، المسك، الفانيليا، الروم، خشب الأرز.,,,,,,,
كتيله دادان أو دو برفيوم,170,كتيله,رجالي/نسائي,عطور,متألقة,عود,50 مل,,أو دو برفيوم,,,,,العود، الورد، البخور، أخشاب الصندل,,,,,,,
سالفاتوري فيراغامو إنتنس ليذر أو دو برفيوم,359,سلفاتوري فيراغامو,رجالي,عطور,كلاسيكية,جلدية,50 مل,2021,أو دو برفيوم,الفلفل الوردي، المرمية، البرتقال,زنبق الوادي، الفتاح الاحمر، السوسن,المسك، طحلب البلوط، الملاحظات الترابية، الجلود,,,,,,,,,
زيرجوف جوين ذا كلوب ماركي أو دو برفيوم,1169,زيرجوف,رجالي/نسائي,عطور,حسية,زهرية,50 مل,2012,أو دو برفيوم,,,,,الياسمين، الفانيليا، العنبر، الفواكه، الورد الأحمر، البنفسج، البودرة,,,,,,,
عود زايد بن زايد أو دو برفيوم,362,عود زايد,رجالي,عطور,متألقة,عود,100 مل,,أو دو برفيوم,,,,,دهن العود السيوفي، دهن العود السيلاني، دهن العود الكمبودي.,,,,,,,
برفيومز أر بي بريفيه نمبر 21 أو دو برفيوم,282,برفيومز أر بي,رجالي/نسائي,عطور,محبة للطبيعة,"خشبية,خشبية",100 مل,,أو دو برفيوم,أوراق التبغ، التوابل,حبوب التونكا، زهر التبغ، الفانيليا، الكاكاو,الفواكه المجففة، النفحات الخشبية,,,,,,,,,
نيكولاي بودري دي مسك انتينس أو دو برفيوم - 250 مل,1669,نيكولاي,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,250 مل,2021,أو دو برفيوم,الألدهيدات,زهور البرتقال، الزعرور، الورد,خشب الصندل، المسك,,,,,,,,,
دنهل آيكون,392,دنهل,رجالي,عطور,جذابة,عود,100 مل,2015,أو دو برفيوم,برغموت إيطالي، جوهر زهر البرتقال، فلفل أسود، حبوب صغيرة,هال، خزامى بروفانس، مريمية، توت العرعر,سوسن، عود، نجيل الهند، جلد، طحلب البلوط,عطور,"برتقال اليوسفي، خشب البتولا، فلفل أسود,هال، خزامى بروفانس، مريمية، توت العرعر,سوسن، عود، نجيل الهند، جلد، طحلب البلوط",,,,,,,
مونارت بينوت برفيوم,209,مونارت,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,برفيوم مركز,,,,,الكمثرى، البرجموت، الزهور، العنبر,,,,,,,
جيرلان اكوا أليغوريا هيربا فريسكا او دو تواليت,604,جيرلان,رجالي/نسائي,عطور,ديناميكية,خضراء,125 مل,1999,أو دو تواليت,زهور البرسيم، الليمون,الشاي الأخضر، النعناع,بخور مريم، زنبق الوادي,,كحول عطر، أكوا، ماء، ليمونين، هيكسيل سينامال، لينالول، إيثيل هكسيل ميثوكسيسينامات، هيدروكسي سيترونيلال، جيرانيول، سيترال، بوتيل ميثوكسيديبنزويل ميثان، إيثيل هكسيل ساليسيلات، بنزيل بنزوات، بينتيريتيريتيلي-تيتروسيناميت ، كحول.,,,,,,,
نشق المجرد أو دو برفيوم,276,نشق,رجالي/نسائي,عطور,ديناميكية,حمضية,50 مل,2019,أو دو برفيوم,,,,,الحمضيات، الأخشاب، العنبر,,,,,,,
لورينت مازون أرسينيك أوسمان,1208,لورينت مازون,رجالي/نسائي,عطور,أنثوية,زهرية ناعمة,100 مل,2017,أو دو برفيوم,القرفة، البرقوق,أوسمانثوس، الياسمين الهندي، البنفسج,الفانيليا، الجلود، الباتشولي الأندونيسي,,القرفة، البرقوق، أوسمانثوس، الياسمين الهندي، البنفسج، الفانيليا، الجلود، الباتشولي الأندونيسي,,,,,,,
كارون لا ماتين كارون أو دو تواليت,610,كارون,رجالي,عطور,ديناميكية,حمضية,125 مل,2022,أو دو تواليت,,,,,أوراق الباتشولي الأندونيسي، أخشاب الغاياك، اللافندر، الحبوب الدقيقة، طحلب البلوط، إبرة الراعي، الليمون، البرجموت، الزنجبيل,,,,,,,
جيرلان مون جيرلان,535,جيرلان,نسائي,عطور,جذابة,أروماتيك,50 مل,2017,أو دو تواليت,البرغموت، اللافندر,الورد، السوسن، الياسمين,عرق السوس، البنزوين، حبوب التونكا، خشب الصندل، الفانيليا، الباتشولي,,البرغموت، اللافندر، الورد، السوسن، الياسمين، عرق السوس، البنزوين، حبوب التونكا، خشب الصندل، الفانيليا، الباتشولي,,,,,,,
وومن سيكريت بيري ليتيل تيمبتيشن أو دو تواليت,63,وومن سيكريت,نسائي,عطور,محبة للطبيعة,فاكهية,40 مل,,أو دو تواليت,الفواكه الحمراء، توت العليق,التوت الأسود,الحلوى,,,,,,,,,
فابريكا ديلا موسى دولسيتو رومانو أو دو برفيوم,1010,فابريكا ديلا موسى,رجالي,عطور,ديناميكية,حمضية,100 مل,2022,أو دو برفيوم,البرغموت، الزنجبيل، التفاح,الزنبق، الياسمين، البنفسج,البرالين، فانيليا مدغشقر، الباتشولي، أخشاب الأرز، الكراميل.,,,,,,,,,
لانكوم ميزون أورانج بيجاراديس أو دو برفيوم,1064,لانكوم,رجالي/نسائي,عطور,ديناميكية,حمضية,100 مل,2018,أو دو برفيوم,البرجموت، الماندرين البرتقالي، البرتقال المر,الفلفل، هديوني، الياسمين، الشاي الأسود، زهور البرتقال,الجاوي، أخشاب الصندل، الفانيليا,,,,,,,,,
تان روكا كيسو,890,تان روكا,رجالي/نسائي,عطور,أنثوية,شرقية خشبية,100 مل,2004,أو دو برفيوم,زهرة يلانج يلانج، شجرة الورد,نفحات خشبية,المسك، خشب الأرز,,زهرة يلانج يلانج، شجرة الورد، نفحات خشبية، المسك، خشب الأرز,أسود,,,,,,
إنيتيو هاي فريكونسي,1260,انيشيو,رجالي/نسائي,عطور,راقية,زهرية,90مل,,أو دو برفيوم,,,,,ماغنوليا، هيديون (ياسمين / أزهار)، اللوز، المسك,,,,,,,
في كانتو أرسينيكو اكسترايت دو برفيوم - 100 مل,942,في كانتو,رجالي/نسائي,عطور,حيوية,فاكهية,100 مل,2017,إكستريت دو برفيوم,البرجموت، الكشمش الأحمر، الأناناس، التفاح,الياسمين، حبوب التونكا، البنزين، زيت سيبرول، الباتشولي، الباتولا، الأرز,العنبر، المسك، طحلب البلوط,,كحول دينات ، بارفان ، لينومين ، لينالول ، ألفا إيزوميثيل أيونون ، سيترونيلول ، كومارين ، سيترال ، سينامال ، جيرانيول ، يوجينول,,,,,,,
بالديساريني بيلا أو دو برفيوم,284,بالديساريني,نسائي,عطور,حيوية,مائية منعشة,50 مل,,أو دو برفيوم,الماندرين الأصفر، القطيفة، شجر الكشمش الأسود، الجريب فروت الوردي,الجاردينيا، الورد,الملاحظات المائية، المسك، أوركانوكس,,,,,,,,,
داي ريلاكس برفيوم,299,داي,رجالي/نسائي,عطور,حسية,زهرية,75 مل,,برفيوم مركز,الكاكاو، الباتشولي,الورد البلغاري، زهور السوسن,الجلود، الفواكه,,,,,,,,,
لانفين إكلات دي أربيج بور أوم,252,لانفين,رجالي,عطور,رجولية,مائية منعشة,100 مل,2015,أو دو تواليت,البرغموت، الليمون، البرتقال، المندرين,أوراق البنفسج، إكليل الجبل، الياسمين,المسك، خشب الأرز رائحة الخشب، خشب الصندل,,البرغموت، الليمون، البرتقال، المندرين، أوراق البنفسج، إكليل الجبل، الياسمين، المسك، خشب الأرز رائحة الخشب، خشب الصندل,أزرق,,,,,,
دخون إنفينيت أو دو برفيوم,125,دخون,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,75 مل,,أو دو برفيوم,البرجموت، الزعفران,الباتشولي، الجلود، اللافندر,أخشاب الأرز، العود,,,,,,,,,
القاسم للعود رامون برفيوم,199,القاسم للعود,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,,برفيوم مركز,الجريب فروت الوردي، البرجموت، الأناناس,الباتشولي، الياسمين، أخشاب الأرز,أخشاب الساج، طحلب البلوط، المسك,,,,,,,,,
بروفومو دي بانتيليريا أير أو دو برفيوم,828,بروفومو دي بانتيليريا,رجالي/نسائي,عطور,حيوية,أروماتيك,100 مل,2004,أو دو برفيوم,الحمضيات، الشاي الأبيض، الكيوي، أرز فرجينيا,الياسمين، السوسن، الفلفل الأبيض,المسك الأبيض، المتة، فول التونكا.,,الحمضيات، الشاي الأبيض، الكيوي، أرز فرجينيا، الياسمين، السوسن، الفلفل الأبيض، المسك الأبيض، المتة، فول التونكا.,,,,,,,
كالفين كلاين ايفوريا عنبرقولد,464,كالفن كلاين,نسائي,عطور,جذابة,شرقية,100 مل,2018,أو دو برفيوم,توت العليق، الفلفل ألوردي، التوت الأسود،,أوركيد، زنبق الوادي، ياسمين,خشب الكشمير، باتشولي، شوكولاتة بيضاء,,توت العليق ، فلفل وردي ، بلاك بيري ، عسل ، زهر البرتقال ، العنبر ، الفانيليا ، لابدانوم وخشب الصندل,ذهبي,,,,,,
سنشري ميستيريوم عود أو دو برفيوم,345,سنشري,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,,,,,المسك، الباتشولي، العود، العنبر، البخور.,,,,,,,
لويس فيتون ميرياد إكستريت دو برفيوم,4299,لويس فيتون,رجالي/نسائي,عطور,محبة للطبيعة,خشبية,100 مل,2023,إكستريت دو برفيوم,الزعفران,حشائش الورد، الورد البلغاري,المسك الأبيض، العنبر، قشر الكاكاو,,,,,,,,,
كباء لادان أو دو برفيوم,250,كباء,رجالي/نسائي,عطور,حيوية,فاكهية,50 مل,,أو دو برفيوم,,,,,الفواكه، الأوركيد، الباتشولي,,,,,,,
هيسترويز دو بارفيوم 1804,820,هيستوار دي بارفيومز,نسائي,عطور,متألقة,زهرية شرقية,120ml,2001,أو دو برفيوم,,,,,الأناناس، الخوخ، زهرة تياري، الياسمين، الورد، زنابق الوادي، القرنفل، جوزة الطيب، خشب الصندل، الباتشولي، الجاوي، الفانيليا، المسك,,الأناناس، الخوخ، زهرة تياري,الياسمين، الورد، زنابق الوادي، القرنفل، جوزة الطيب,خشب الصندل، الباتشولي، الجاوي، الفانيليا، المسك,,,
عطور غنى دوز أو دو برفيوم,320,عطور غنى,رجالي/نسائي,عطور,,,50 مل,,أو دو برفيوم,,,,,عنبر ابيض، ازهار البرتقال، بلسم البيرو,,,,,,,
تولا عنبر,1000,تولِه,رجالي/نسائي,عطور,حيوية,فاكهية,45 مل,2013,أو دو برفيوم,تفاح ، برقوق ، فراولة ، برتقال,القرنفل ، السوسن ، الياسمين ، القرفة,الأرز ، الباتشولي ، سيام بنزوين ، اللبان ، البخور ، فول التونكا ، الفانيليا ، المسك الأبيض ، العنبر,,تفاح ، برقوق ، فراولة ، برتقال، القرنفل ، السوسن ، الياسمين ، القرفة،الأرز ، الباتشولي ، سيام بنزوين ، اللبان ، البخور ، فول التونكا ، الفانيليا ، المسك الأبيض ، العنبر,,,,,,,
بارفيوم دو مارلي بيرسيفال - 75 مل,1116,بارفيوم دو مارلي,رجالي/نسائي,عطور,حيوية,أروماتيك,75 مل,,أو دو برفيوم,البرغموت، اليوسفي، زهور إبرة الراعي، الخزامي,الياسمين، الكزبرة، البنفسج، القرفة، هديون,أخشاب العنبر، أمبروكسان، أخشاب الكلير، التنوب البلسمي، المسك.,,البرغموت، اليوسفي، زهور إبرة الراعي، الخزامي، الياسمين، الكزبرة، البنفسج، القرفة، هديون، أخشاب العنبر، أمبروكسان، أخشاب الكلير، التنوب البلسمي، المسك.,,,,,,,
ثمين انسيجنيا إكتسريت دو برفيوم,1140,ثمين,رجالي/نسائي,عطور,حيوية,أروماتيك,50 مل,2022,إكستريت دو برفيوم,البرتقال المر، الويسكي، التين الحليبي,الورد الدمشقي، إبرة الراعي، أوراق الخليج,نجيل الهند، أخشاب الصندل، الجلود المخملية,,,,,,,,,
أجمل وصال ذهب,127,أجمل,رجالي/نسائي,عطور,حيوية,أروماتيك,50 مل,2001,أو دو برفيوم,تفاح ، خوخ، كمثرى، جريب فروت، ماندرين برتقال.,الورد ، الياسمين، الأوركيد، إبرة الراعي.,خشب الصندل والأرز والباتشولي والمسك.,,التفاح والخوخ والكمثرى والجريب فروت والبرتقال والورد والياسمين والأوركيد وإبرة الراعي وخشب الصندل والأرز والباتشولي والمسك.,,,,,,,
عطور إيفيان فاير وود أو دو برفيوم,239,عطور إيفيان,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,,أو دو برفيوم,كشميران، الفانيليا,بلسم بيرو، أخشاب الغاياك، الكستناء,الفلفل الوردي، القرنفل,,,,,,,,,
مودون أوبسيديان إكستريت دو برفيوم,399,موودون,رجالي/نسائي,عطور,جذابة,شرقية,100 مل,2022,إكستريت دو برفيوم,الماندرين البرتقالي، الزعفران، جوزة الطيب,الكمون، البنفسج، أوسمانثوس، أوراق القرنفل، زهرة الخلود,العود، الباتشولي، الطحالب، المسك، العنبر,,,,,,,,,
بالديساريني نواتيك سبيريت,341,بالديساريني,رجالي,عطور,متألقة,شرقية,50 مل,2014,أو دو تواليت,فاكهة الباشون، المانجو، مياه البحار,الزنجبيل، الهيل، شجر الكاري,خشب الصندل، المسك، الباتشولي,,فاكهة الباشون، المانجو، مياه البحار، الزنجبيل، الهيل، شجر الكاري، خشب الصندل، المسك، الباتشولي,,,,,,,
